;year_month;uf;product;unit;volume;created_at
130;2013-11-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);6008.5;2022-09-12 23:11:30.887749
131;2013-12-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);6101.0;2022-09-12 23:11:30.887749
132;2013-01-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);2401.5;2022-09-12 23:11:30.887749
133;2013-02-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);2964.5;2022-09-12 23:11:30.887749
134;2013-03-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);3090.0;2022-09-12 23:11:30.887749
135;2013-04-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);3641.5;2022-09-12 23:11:30.887749
136;2013-05-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);4308.0;2022-09-12 23:11:30.887749
137;2013-06-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);3961.5;2022-09-12 23:11:30.887749
138;2013-07-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);5212.49;2022-09-12 23:11:30.887749
139;2013-08-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);5931.0;2022-09-12 23:11:30.887749
140;2013-09-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);6035.96;2022-09-12 23:11:30.887749
141;2013-10-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);6856.99;2022-09-12 23:11:30.887749
142;2013-11-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);7049.5;2022-09-12 23:11:30.887749
143;2013-12-01;PARAÍBA;ÓLEO DIESEL S-10;(m3);7267.97;2022-09-12 23:11:30.887749
144;2013-01-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);94832.55;2022-09-12 23:11:30.887749
145;2013-02-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);69172.759;2022-09-12 23:11:30.887749
146;2013-03-01;PERNAMBUCO;ÓLEO DIESEL S-10;(m3);76060.5;2022-09-12 23:11:30.887749
