ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
2013;DEZ;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;6733
2013;JAN;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;4191,5
2013;FEV;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;3978,6
2013;MAR;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;4921,6
2013;ABR;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;5369,1
2013;MAI;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;5637,4
2013;JUN;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;5523,9
2013;JUL;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;5940
2013;AGO;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;6896,603
2013;SET;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;7466,738
2013;OUT;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;8139,3
2013;NOV;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;8811
2013;DEZ;REGIÃO NORDESTE;SERGIPE;ÓLEO DIESEL S-10;9882,4
2013;JAN;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;25274,123
2013;FEV;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;24716,294
2013;MAR;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;32029,998
2013;ABR;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;35929,155
2013;MAI;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;37845,172
2013;JUN;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;38125,774
2013;JUL;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;43987,387
2013;AGO;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;48891,535
2013;SET;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;48378,952
2013;OUT;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;54640,601
2013;NOV;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;55057,999
2013;DEZ;REGIÃO NORDESTE;BAHIA;ÓLEO DIESEL S-10;52917,869
2013;JAN;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;46251,409
2013;FEV;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;45857,426
2013;MAR;REGIÃO SUDESTE;MINAS GERAIS;ÓLEO DIESEL S-10;55960,055
